26098
(1,41.153901,-8.633042)
(3,41.144024,-8.622536)
(9,41.148539,-8.625129)
(11,41.145182,-8.640873)
(13,41.153691,-8.613200)
(16,41.157341,-8.612651)
(17,41.174699,-8.588446)
(21,41.155634,-8.592092)
(26,41.141079,-8.633948)
(27,41.158881,-8.598454)
(28,41.144913,-8.610909)
(30,41.140949,-8.611356)
(37,41.150960,-8.609635)
(39,41.155337,-8.578498)
(41,41.142180,-8.648212)
(47,41.147273,-8.630935)
(50,41.152915,-8.577662)
(53,41.162320,-8.614471)
(56,41.161490,-8.586169)
(57,41.151862,-8.613887)
(60,41.164874,-8.642799)
(62,41.147182,-8.620286)
(63,41.144641,-8.623575)
(66,41.141176,-8.612811)
(67,41.172529,-8.611379)
(69,41.172041,-8.603948)
(71,41.155078,-8.577553)
(73,41.145270,-8.639074)
(74,41.159993,-8.648536)
(75,41.155980,-8.594973)
(76,41.157717,-8.614269)
(80,41.150769,-8.610099)
(81,41.146086,-8.630396)
(82,41.147878,-8.619700)
(83,41.170271,-8.607666)
(84,41.153053,-8.630630)
(88,41.150472,-8.633899)
(89,41.147912,-8.607715)
(91,41.142491,-8.589212)
(92,41.141501,-8.616889)
(93,41.145742,-8.607201)
(94,41.161777,-8.630081)
(96,41.147899,-8.628047)
(98,41.144607,-8.607101)
(100,41.170105,-8.606419)
(101,41.142951,-8.612426)
(102,41.154203,-8.596478)
(106,41.144962,-8.577012)
(107,41.155529,-8.629827)
(109,41.151577,-8.617559)
(110,41.175055,-8.588424)
(111,41.148803,-8.609147)
(112,41.151536,-8.628342)
(116,41.150554,-8.610215)
(118,41.157044,-8.614398)
(119,41.150718,-8.627543)
(124,41.150796,-8.612149)
(125,41.145622,-8.629830)
(126,41.142509,-8.612578)
(127,41.141774,-8.615990)
(128,41.164786,-8.649131)
(131,41.146817,-8.631636)
(133,41.148144,-8.602926)
(134,41.148434,-8.606871)
(137,41.147758,-8.634426)
(138,41.142326,-8.613885)
(141,41.140586,-8.614875)
(143,41.151811,-8.610245)
(146,41.163102,-8.575754)
(148,41.155034,-8.628872)
(149,41.157317,-8.629119)
(152,41.148100,-8.593039)
(153,41.140948,-8.635136)
(155,41.168903,-8.619720)
(158,41.160085,-8.641904)
(162,41.151200,-8.628447)
(163,41.140535,-8.616597)
(164,41.162504,-8.594143)
(169,41.163892,-8.582201)
(170,41.158132,-8.630732)
(173,41.148446,-8.625193)
(174,41.156327,-8.640255)
(175,41.170991,-8.635234)
(177,41.147790,-8.609414)
(179,41.149426,-8.599621)
(180,41.148231,-8.624033)
(183,41.145868,-8.630874)
(184,41.172317,-8.581887)
(185,41.150349,-8.633835)
(186,41.141578,-8.608620)
(189,41.147743,-8.630300)
(194,41.159530,-8.618448)
