7108
(2,40.987553,-8.630666)
(3,41.030875,-8.634016)
(7,41.043894,-8.631332)
(8,40.999992,-8.606281)
(9,41.001800,-8.643400)
(10,40.991459,-8.596079)
(12,40.999983,-8.622075)
(14,41.006100,-8.605754)
(15,41.001179,-8.592429)
(20,41.007171,-8.588720)
(24,41.039361,-8.623452)
(27,41.023753,-8.642423)
(28,41.011040,-8.643648)
(32,40.992115,-8.628987)
(33,41.003403,-8.613989)
(35,41.015150,-8.639814)
(37,41.003965,-8.632389)
(38,41.004136,-8.634332)
(39,41.036071,-8.602713)
(43,41.012593,-8.616291)
(44,41.040467,-8.621625)
(46,41.009350,-8.586695)
(48,41.041897,-8.631296)
(50,41.026380,-8.612573)
(56,41.013641,-8.636766)
(57,41.013579,-8.643004)
(60,41.023815,-8.623339)
(64,41.024767,-8.626736)
(66,40.995742,-8.612339)
(70,40.999713,-8.627794)
(71,41.021157,-8.592865)
(72,41.013422,-8.602712)
(76,41.007638,-8.618284)
(78,41.022064,-8.613915)
(80,41.003612,-8.613494)
(85,40.991318,-8.629270)
(87,41.008806,-8.639195)
(88,41.038131,-8.629934)
(89,41.016132,-8.629956)
(94,41.041999,-8.632416)
(100,41.007203,-8.634447)
(103,41.001646,-8.643847)
(105,40.989220,-8.627030)
(109,41.039646,-8.616321)
(110,41.015290,-8.632514)
(115,41.016338,-8.637237)
(116,41.008482,-8.595789)
(117,41.037768,-8.622311)
(118,40.997269,-8.608249)
(120,41.015702,-8.615748)
(121,41.008181,-8.615938)
(122,41.024701,-8.625029)
(123,41.001208,-8.627517)
(125,40.991133,-8.629553)
(127,40.997515,-8.588252)
(129,41.009765,-8.592313)
(130,41.011685,-8.640725)
(136,41.000914,-8.612112)
(137,40.990215,-8.596506)
(138,40.977644,-8.629762)
(142,40.996311,-8.615430)
(147,41.015304,-8.630568)
(149,41.005823,-8.624457)
(151,41.024744,-8.629974)
(152,41.016328,-8.607076)
(153,40.999578,-8.642893)
(154,41.023030,-8.636894)
(156,41.018313,-8.631793)
(157,40.989861,-8.601236)
(161,40.988776,-8.626726)
(162,40.984980,-8.636273)
(167,41.019951,-8.634413)
(168,41.035022,-8.643307)
(170,41.040352,-8.645850)
(172,41.025746,-8.630012)
(176,41.014678,-8.642830)
(178,41.004843,-8.596206)
(179,40.995391,-8.611331)
(180,40.987467,-8.624329)
(184,41.005916,-8.635313)
(189,41.025371,-8.627350)
(192,40.990119,-8.636337)
(193,41.019388,-8.615537)
(195,41.008305,-8.620651)
(196,40.998728,-8.635813)
(199,41.031012,-8.623513)
(204,41.029615,-8.637984)
(207,41.015644,-8.599840)
(210,41.036542,-8.616241)
(221,40.993559,-8.592182)
(226,41.012598,-8.587726)
(227,41.037872,-8.640574)
(228,40.992849,-8.598832)
(232,41.024668,-8.626886)
(239,40.989019,-8.598931)
(240,41.005940,-8.642321)
(243,41.008489,-8.638928)
(244,41.020623,-8.623252)
(245,41.046191,-8.633335)
(253,41.027551,-8.640759)
(256,41.005864,-8.596266)
(258,41.017262,-8.629460)
(264,41.008513,-8.628907)
(271,40.996411,-8.644846)
(272,41.019469,-8.635103)
(279,41.010590,-8.638036)
(281,40.995632,-8.637381)
(284,41.003067,-8.645515)
(289,41.012908,-8.634094)
(290,41.036758,-8.624324)
(292,40.995871,-8.609903)
(294,41.042352,-8.628263)
(295,40.984640,-8.595918)
(297,41.019250,-8.625702)
(307,41.008931,-8.586469)
(309,41.003851,-8.634097)
(311,40.999320,-8.604749)
(314,41.018367,-8.606065)
(315,41.040357,-8.632650)
(317,41.000905,-8.606875)
(318,41.032101,-8.603700)
(319,41.016990,-8.634461)
(323,40.997110,-8.642746)
(326,40.996930,-8.634694)
(327,41.040581,-8.628445)
(330,41.015774,-8.606689)
(332,41.044158,-8.631994)
(334,40.985484,-8.592491)
(335,41.025932,-8.603150)
(340,41.004868,-8.596453)
(341,41.014938,-8.642515)
(343,41.008967,-8.590509)
(344,41.025006,-8.629834)
(345,40.990156,-8.592616)
(346,40.999938,-8.622936)
(347,41.008191,-8.604596)
(352,41.031439,-8.615397)
(353,40.984057,-8.636955)
(362,41.006901,-8.594280)
(366,41.009522,-8.586715)
(367,41.001759,-8.611967)
(369,40.983836,-8.634458)
(370,41.024366,-8.597133)
(377,41.003279,-8.627602)
(378,40.998467,-8.628179)
(379,41.006657,-8.616915)
