17772
(1,41.042570,-8.576085)
(2,40.987553,-8.630666)
(3,41.030875,-8.634016)
(4,40.973596,-8.608191)
(5,41.025607,-8.644756)
(6,41.042876,-8.635623)
(7,41.043894,-8.631332)
(8,40.999992,-8.606281)
(9,41.001800,-8.643400)
(10,40.991459,-8.596079)
(11,40.996383,-8.631966)
(12,40.999983,-8.622075)
(13,41.002378,-8.582964)
(14,41.006100,-8.605754)
(15,41.001179,-8.592429)
(16,41.004947,-8.632915)
(17,41.028481,-8.608421)
(18,41.033744,-8.646739)
(19,41.016337,-8.617209)
(20,41.007171,-8.588720)
(21,41.040582,-8.586746)
(22,40.997634,-8.626131)
(23,40.999935,-8.638488)
(24,41.039361,-8.623452)
(25,41.024781,-8.583545)
(26,41.023226,-8.635834)
(27,41.023753,-8.642423)
(28,41.011040,-8.643648)
(29,41.029198,-8.575398)
(30,41.027833,-8.587474)
(31,40.975822,-8.606343)
(32,40.992115,-8.628987)
(33,41.003403,-8.613989)
(34,40.977977,-8.641438)
(35,41.015150,-8.639814)
(36,41.009226,-8.578307)
(37,41.003965,-8.632389)
(38,41.004136,-8.634332)
(39,41.036071,-8.602713)
(40,41.037901,-8.582574)
(41,41.000206,-8.631104)
(42,41.003666,-8.603082)
(43,41.012593,-8.616291)
(44,41.040467,-8.621625)
(45,41.028302,-8.606895)
(46,41.009350,-8.586695)
(47,41.002915,-8.581298)
(48,41.041897,-8.631296)
(49,40.979241,-8.582325)
(50,41.026380,-8.612573)
(51,40.976524,-8.574679)
(52,40.994264,-8.629177)
(53,41.036254,-8.572723)
(54,41.045775,-8.614588)
(55,41.043865,-8.612177)
(56,41.013641,-8.636766)
(57,41.013579,-8.643004)
(58,40.978779,-8.574505)
(59,41.002192,-8.595067)
(60,41.023815,-8.623339)
(61,41.011420,-8.583418)
(62,41.038802,-8.649382)
(63,41.012362,-8.575302)
(64,41.024767,-8.626736)
(65,40.974582,-8.605834)
(66,40.995742,-8.612339)
(67,41.012776,-8.575364)
(68,41.009929,-8.617876)
(69,40.992033,-8.589684)
(70,40.999713,-8.627794)
(71,41.021157,-8.592865)
