10365
(1,41.196895,-8.274650)
(2,41.183305,-8.322983)
(3,41.185448,-8.294725)
(4,41.208582,-8.292321)
(5,41.208191,-8.276336)
(6,41.223344,-8.267952)
(7,41.192974,-8.270935)
(8,41.185207,-8.312944)
(9,41.209989,-8.278360)
(10,41.201618,-8.301915)
(11,41.213399,-8.288182)
(12,41.198016,-8.274597)
(13,41.208434,-8.270457)
(14,41.194134,-8.273075)
(15,41.226546,-8.310290)
(16,41.198317,-8.324693)
(17,41.210563,-8.277059)
(18,41.196254,-8.285783)
(19,41.202950,-8.308813)
(20,41.206589,-8.287676)
(21,41.192917,-8.299436)
(22,41.133373,-8.273513)
(23,41.223984,-8.290705)
(24,41.199029,-8.308683)
(25,41.203173,-8.290305)
(26,41.198628,-8.309135)
(27,41.200547,-8.320049)
(28,41.154104,-8.301108)
(29,41.188943,-8.265986)
(30,41.203058,-8.319712)
(31,41.211526,-8.288583)
(32,41.200978,-8.259906)
(33,41.206261,-8.283497)
(34,41.207714,-8.275970)
(35,41.180225,-8.253932)
(36,41.197262,-8.308353)
(37,41.185287,-8.272965)
(38,41.209053,-8.261879)
(39,41.202720,-8.309101)
(40,41.194743,-8.306113)
(41,41.200570,-8.317890)
(42,41.212727,-8.270608)
(43,41.181185,-8.258125)
(44,41.196177,-8.291572)
(45,41.201288,-8.265363)
(46,41.183995,-8.260948)
(47,41.181505,-8.253731)
(48,41.206909,-8.260655)
(49,41.207078,-8.255382)
(50,41.199667,-8.297988)
(51,41.205479,-8.301012)
(52,41.201132,-8.285943)
(53,41.193532,-8.285188)
(54,41.208811,-8.263540)
(55,41.202977,-8.272065)
(56,41.200165,-8.278685)
(57,41.185131,-8.291463)
(58,41.206672,-8.285259)
(59,41.209874,-8.277011)
(60,41.207791,-8.277157)
(61,41.200453,-8.259919)
(62,41.194025,-8.273003)
(63,41.182006,-8.307310)
(64,41.182433,-8.257019)
(65,41.193256,-8.258050)
(66,41.195835,-8.288620)
(67,41.197249,-8.295271)
(68,41.210694,-8.279939)
(69,41.198291,-8.292118)
(70,41.200221,-8.291255)
(71,41.221865,-8.308761)
(72,41.193962,-8.291948)
(73,41.202348,-8.313349)
(74,41.182324,-8.256676)
(75,41.228570,-8.270689)
(76,41.210196,-8.277397)
(77,41.213279,-8.259176)
(78,41.196270,-8.289321)
(79,41.215457,-8.300589)
(80,41.193906,-8.273329)
(81,41.192537,-8.268586)
(82,41.190700,-8.274774)
(83,41.201196,-8.301208)
(84,41.207398,-8.313791)
(85,41.197407,-8.307770)
(86,41.211159,-8.255212)
(87,41.222321,-8.283655)
(88,41.218445,-8.304979)
(89,41.153730,-8.268714)
(90,41.200631,-8.317777)
(91,41.196833,-8.279303)
(92,41.209887,-8.285118)
(93,41.181957,-8.255399)
(94,41.214002,-8.298307)
(95,41.190974,-8.301191)
(96,41.193975,-8.258420)
(97,41.210894,-8.276349)
(98,41.196201,-8.295034)
(99,41.215314,-8.265830)
